raw.date,day,month,year,Date,Country,President,Positive,Negative,DK-Neutral,Neutral,DK,Sum,QuestType,Type,SampleType,SampleSize,SampleMode,Question,Institute,Institute_OLD,Validation_Institute,SurveyName,Source,Notes
1-maio-79,,may,1979,1979-05-01,Brazil,Figueiredo,47,7,,,,54,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-ago.-79,,aug,1979,1979-08-01,Brazil,Figueiredo,56,10,,,,66,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-nov.-79,,nov,1979,1979-11-01,Brazil,Figueiredo,57,9,,,,66,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-80,,feb,1980,1980-02-01,Brazil,Figueiredo,37,22,,,,59,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-abr.-80,,apr,1980,1980-04-01,Brazil,Figueiredo,39,16,,,,55,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-ago.-80,,aug,1980,1980-08-01,Brazil,Figueiredo,33,21,,,,54,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-nov.-80,,nov,1980,1980-11-01,Brazil,Figueiredo,31,20,,,,51,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-81,,feb,1981,1981-02-01,Brazil,Figueiredo,36,24,,,,60,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jun.-81,,jun,1981,1981-06-01,Brazil,Figueiredo,39,18,,,,57,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-set.-81,,sep,1981,1981-09-01,Brazil,Figueiredo,40,17,,,,57,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-dez.-81,,dec,1981,1981-12-01,Brazil,Figueiredo,46,17,,,,63,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-82,,feb,1982,1982-02-01,Brazil,Figueiredo,45,15,,,,60,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-abr.-82,,apr,1982,1982-04-01,Brazil,Figueiredo,54,12,,,,66,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jul.-82,,jul,1982,1982-07-01,Brazil,Figueiredo,38,15,,,,53,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-set.-82,,sep,1982,1982-09-01,Brazil,Figueiredo,45,14,,,,59,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-nov.-82,,nov,1982,1982-11-01,Brazil,Figueiredo,47,11,,,,58,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-83,,feb,1983,1983-02-01,Brazil,Figueiredo,43,13,,,,56,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-mar.-83,,mar,1983,1983-03-01,Brazil,Figueiredo,38,14,,,,52,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-jun.-83,,jun,1983,1983-06-01,Brazil,Figueiredo,46,17,,,,63,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-set.-83,,sep,1983,1983-09-01,Brazil,Figueiredo,28,30,,,,58,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-dez.-83,,dec,1983,1983-12-01,Brazil,Figueiredo,26,32,,,,58,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-fev.-84,,feb,1984,1984-02-01,Brazil,Figueiredo,26,28,,,,54,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
1-abr.-84,,apr,1984,1984-04-01,Brazil,Figueiredo,26,27,,,,53,Positive,Positive,,,,,Gallup,Gallup,TRUE,,Ryan Carlin,Don't know the question
