raw.date,day,month,year,Country,President,Positive,Negative,DK-Neutral,Neutral,DK,QuestType,SampleType,SampleSize,SampleMode,Question,Institute,SurveyName,Source,Notes
1-May-79,,may,1979,Brazil,Figueiredo,47,7,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Aug-79,,aug,1979,Brazil,Figueiredo,56,10,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Nov-79,,nov,1979,Brazil,Figueiredo,57,9,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Feb-80,,feb,1980,Brazil,Figueiredo,37,22,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Apr-80,,apr,1980,Brazil,Figueiredo,39,16,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Aug-80,,aug,1980,Brazil,Figueiredo,33,21,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Nov-80,,nov,1980,Brazil,Figueiredo,31,20,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Feb-81,,feb,1981,Brazil,Figueiredo,36,24,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jun-81,,jun,1981,Brazil,Figueiredo,39,18,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Sep-81,,sep,1981,Brazil,Figueiredo,40,17,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Dec-81,,dec,1981,Brazil,Figueiredo,46,17,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Feb-82,,feb,1982,Brazil,Figueiredo,45,15,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Apr-82,,apr,1982,Brazil,Figueiredo,54,12,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Jul-82,,jul,1982,Brazil,Figueiredo,38,15,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Sep-82,,sep,1982,Brazil,Figueiredo,45,14,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
1-Nov-82,,nov,1982,Brazil,Figueiredo,47,11,,,,Positive,,,,,Gallup,,Ryan Carlin,Don't know the question
