"","M","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","presUsed","useM","popM.li","latentM"
"1","1985-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.075,36.8004671780298
"2","1985-04",1985,"Brazil","Sarney",35.3,10,54.7,28,26.7,"Ot-Bom","Sao Paulo",NA,NA,NA,"Datafolha",NA,"Folha  June 16 1985 page 6",NA,"SARNEY",1985-04-10,"1985-2","SARNEY",TRUE,43.15,32.5300485534876
"3","1985-04",1985,"Brazil","Sarney",51,3,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1985-04-15,"1985-2","SARNEY",TRUE,43.15,32.5300485534876
"4","1985-05",1985,"Brazil","Sarney",57,2,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1985-05-15,"1985-2","SARNEY",TRUE,57,41.0708858025719
"5","1985-06",1985,"Brazil","Sarney",45.2,4.7,50.1,42.2,7.9,"Ot-Bom","Sao Paulo",NA,NA,NA,"Datafolha",NA,"Folha June 16 1985 cover and page 6",NA,"SARNEY",1985-06-18,"1985-2","SARNEY",TRUE,45.2,40.389611261244
"6","1985-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1,40.5826848074124
"7","1985-08",1985,"Brazil","Sarney",45,5,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","SARNEY",1985-08-15,"1985-3","SARNEY",TRUE,45,36.7378848054774
"8","1985-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,33.1975067517006
"9","1985-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4,32.5011161839828
"10","1985-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,32.3558314744979
