"","date","M","PresidentS","minterm","hm","hmc","ld","popM","popM.li","latentM","instituteM","term","country"
"71",1985-03-15,"1985-03","SARNEY",0,FALSE,0,FALSE,NA,50.075,36.8004671780298,NA,"SARNEY","Brazil"
"72",1985-04-15,"1985-04","SARNEY",1,FALSE,0,FALSE,43.15,43.15,32.5300485534876,"_Multiple","SARNEY","Brazil"
"73",1985-05-15,"1985-05","SARNEY",2,FALSE,0,FALSE,57,57,41.0708858025719,"Gallup","SARNEY","Brazil"
"74",1985-06-15,"1985-06","SARNEY",3,FALSE,0,FALSE,45.2,45.2,40.389611261244,"Datafolha","SARNEY","Brazil"
"75",1985-07-15,"1985-07","SARNEY",4,FALSE,0,FALSE,NA,45.1,40.5826848074124,NA,"SARNEY","Brazil"
"76",1985-08-15,"1985-08","SARNEY",5,FALSE,0,FALSE,45,45,36.7378848054774,"Gallup","SARNEY","Brazil"
"77",1985-09-15,"1985-09","SARNEY",6,FALSE,0,FALSE,NA,43.2,33.1975067517006,NA,"SARNEY","Brazil"
"78",1985-10-15,"1985-10","SARNEY",7,FALSE,0,FALSE,NA,41.4,32.5011161839828,NA,"SARNEY","Brazil"
"79",1985-11-15,"1985-11","SARNEY",8.1,FALSE,0,FALSE,NA,39.6,32.3558314744979,NA,"SARNEY","Brazil"
"80",1985-12-15,"1985-12","SARNEY",9,FALSE,0,FALSE,NA,37.8,32.3236178407633,NA,"SARNEY","Brazil"
"81",1986-01-15,"1986-01","SARNEY",10.1,FALSE,0,FALSE,36,36,30.1127408401739,"Gallup","SARNEY","Brazil"
"82",1986-02-15,"1986-02","SARNEY",11.1,FALSE,0,FALSE,NA,53.5,39.4437805908348,NA,"SARNEY","Brazil"
"83",1986-03-15,"1986-03","SARNEY",12,FALSE,0,FALSE,71,71,40.9252000709947,"IBOPE","SARNEY","Brazil"
"84",1986-04-15,"1986-04","SARNEY",13,FALSE,0,FALSE,81,81,54.7343924976328,"Gallup","SARNEY","Brazil"
"85",1986-05-15,"1986-05","SARNEY",14,FALSE,0,FALSE,NA,78.5,56.8023274138933,NA,"SARNEY","Brazil"
"86",1986-06-15,"1986-06","SARNEY",15,FALSE,0,FALSE,76,76,56.2390580026417,"Gallup","SARNEY","Brazil"
"87",1986-07-15,"1986-07","SARNEY",16,FALSE,0,FALSE,NA,72.6666666666667,53.324774595649,NA,"SARNEY","Brazil"
"88",1986-08-15,"1986-08","SARNEY",17,FALSE,0,FALSE,NA,69.3333333333333,52.8301561479314,NA,"SARNEY","Brazil"
"89",1986-09-15,"1986-09","SARNEY",18,FALSE,0,FALSE,66,66,50.2968496489964,"Gallup","SARNEY","Brazil"
"90",1986-10-15,"1986-10","SARNEY",19,FALSE,0,FALSE,NA,50,40.7753478361088,NA,"SARNEY","Brazil"
"91",1986-11-15,"1986-11","SARNEY",20.1,FALSE,0,FALSE,34,34,35.1314766142569,"Datafolha","SARNEY","Brazil"
"92",1986-12-15,"1986-12","SARNEY",21,FALSE,0,FALSE,47,47,36.659070471813,"Gallup","SARNEY","Brazil"
"93",1987-01-15,"1987-01","SARNEY",22.1,FALSE,0,FALSE,NA,36.5,30.8889289035876,NA,"SARNEY","Brazil"
"94",1987-02-15,"1987-02","SARNEY",23.1,FALSE,0,FALSE,26,26,24.7401198140523,"Gallup","SARNEY","Brazil"
"95",1987-03-15,"1987-03","SARNEY",24,FALSE,0,FALSE,32.6,32.6,20.164483059688,"IBOPE","SARNEY","Brazil"
"96",1987-04-15,"1987-04","SARNEY",25,FALSE,0,FALSE,NA,20.8,12.2495939019521,NA,"SARNEY","Brazil"
"97",1987-05-15,"1987-05","SARNEY",26,FALSE,0,FALSE,9,9,15.5545162771429,"Datafolha","SARNEY","Brazil"
"98",1987-06-15,"1987-06","SARNEY",27,FALSE,0,FALSE,NA,14.525,19.5184874284341,NA,"SARNEY","Brazil"
"99",1987-07-15,"1987-07","SARNEY",28,FALSE,0,FALSE,20.05,20.05,18.8950617195546,"_Multiple","SARNEY","Brazil"
"100",1987-08-15,"1987-08","SARNEY",29,FALSE,0,FALSE,NA,18.975,18.4269465713415,NA,"SARNEY","Brazil"
"101",1987-09-15,"1987-09","SARNEY",30,FALSE,0,FALSE,17.9,17.9,17.402424621338,"_Multiple","SARNEY","Brazil"
"102",1987-10-15,"1987-10","SARNEY",31,FALSE,0,FALSE,NA,14.45,14.9374544641831,NA,"SARNEY","Brazil"
"103",1987-11-15,"1987-11","SARNEY",32.1,FALSE,0,FALSE,11,11,17.318432772841,"Datafolha","SARNEY","Brazil"
"104",1987-12-15,"1987-12","SARNEY",33,FALSE,0,FALSE,12,12,14.2302646620783,"Gallup","SARNEY","Brazil"
"105",1988-01-15,"1988-01","SARNEY",34.1,FALSE,0,FALSE,NA,11,13.2852131617359,NA,"SARNEY","Brazil"
"106",1988-02-15,"1988-02","SARNEY",35.1,FALSE,0,FALSE,NA,10,13.0482070049782,NA,"SARNEY","Brazil"
"107",1988-03-15,"1988-03","SARNEY",36,FALSE,0,FALSE,9,9,12.4860413633641,"_Multiple","SARNEY","Brazil"
"108",1988-04-15,"1988-04","SARNEY",37.1,FALSE,0,FALSE,NA,9.25,11.8789418578748,NA,"SARNEY","Brazil"
"109",1988-05-15,"1988-05","SARNEY",38,FALSE,0,FALSE,NA,9.5,11.7622313387046,NA,"SARNEY","Brazil"
