"","popM.li","latentM"
"X1988.11.15",8.5,12.5205804996346
"X1989.11.15",9,9.68941133136971
"X1990.03.10",71,46.2146622865163
"X1992.10.03",18,18.3621318625467
"X1994.10.03",32.45,29.3928631549043
"X1996.10.03",43,34.1923637807742
"X1998.10.04",44,35.4570946919859
"X2000.10.01",21.8666666666667,20.8794334640996
"X2002.10.06",24.4333333333333,23.0045623776794
"X2004.10.03",41.3,32.2735262677665
"X2006.10.01",46,35.4489416736299
"X2008.10.05",67.2666666666667,48.2781280072301
"X2010.10.03",78.35,57.0764216629682
"X2012.10.07",62,45.9459033439929
"X2014.10.05",40.75,33.1161953114172
"X2016.10.01",11.5333333333333,15.5093279217923
"X2018.10.07",2.5,7.54124810771459
