"","summary.Nall","summary.Nused","summary.Npollsters","summary.Nmonths","summary.Nimp","summary.First","summary.Last","by.pollster"
"Atlas",847,847,16,440,91,"1985-03","2021-10",21
"Datafolha",847,847,16,440,91,"1985-03","2021-10",206
"DataPoder360",847,847,16,440,91,"1985-03","2021-10",48
"FSB/Veja",847,847,16,440,91,"1985-03","2021-10",4
"Gallup",847,847,16,440,91,"1985-03","2021-10",63
"IBOPE",847,847,16,440,91,"1985-03","2021-10",171
"IBPAD",847,847,16,440,91,"1985-03","2021-10",7
"IDEIA",847,847,16,440,91,"1985-03","2021-10",86
"IPESPE",847,847,16,440,91,"1985-03","2021-10",41
"IPSOS",847,847,16,440,91,"1985-03","2021-10",45
"MDA",847,847,16,440,91,"1985-03","2021-10",31
"Offerwise",847,847,16,440,91,"1985-03","2021-10",6
"Parana",847,847,16,440,91,"1985-03","2021-10",7
"Quaest",847,847,16,440,91,"1985-03","2021-10",10
"Sensus",847,847,16,440,91,"1985-03","2021-10",75
"Vox",847,847,16,440,91,"1985-03","2021-10",46
