"","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","M"
"1",1979,"Brazil","Figueiredo",47,7,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1979-05-15,"1979-2","1979-05"
"2",1979,"Brazil","Figueiredo",56,10,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1979-08-15,"1979-3","1979-08"
"3",1979,"Brazil","Figueiredo",57,9,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1979-11-15,"1979-4","1979-11"
"4",1980,"Brazil","Figueiredo",37,22,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1980-02-15,"1980-1","1980-02"
"5",1980,"Brazil","Figueiredo",39,16,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1980-04-15,"1980-2","1980-04"
"6",1980,"Brazil","Figueiredo",33,21,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1980-08-15,"1980-3","1980-08"
"7",1980,"Brazil","Figueiredo",31,20,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1980-11-15,"1980-4","1980-11"
"8",1981,"Brazil","Figueiredo",36,24,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1981-02-15,"1981-1","1981-02"
"9",1981,"Brazil","Figueiredo",39,18,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1981-06-15,"1981-2","1981-06"
"10",1981,"Brazil","Figueiredo",40,17,NA,NA,NA,"Positive",NA,NA,NA,NA,"Gallup",NA,"Ryan Carlin","Don't know the question","FIGUEIREDO",1981-09-15,"1981-3","1981-09"
