date,year,QuestType,PresidentS,Q,popM.li,latentM
1985-04,1985,Ot-Bom,SARNEY,1985-2,43.15,32.5300486
1985-04,1985,Positive,SARNEY,1985-2,43.15,32.5300486
1985-05,1985,Positive,SARNEY,1985-2,57,41.0708858
1985-06,1985,Ot-Bom,SARNEY,1985-2,45.2,40.3896113
1985-08,1985,Positive,SARNEY,1985-3,45,36.7378848
1986-01,1986,Positive,SARNEY,1986-1,36,30.1127408
1986-03,1986,Ot-Bom,SARNEY,1986-1,71,40.9252001
1986-04,1986,Positive,SARNEY,1986-2,81,54.7343925
1986-06,1986,Positive,SARNEY,1986-2,76,56.239058
1986-09,1986,Positive,SARNEY,1986-3,66,50.2968497
1986-11,1986,Ot-Bom,SARNEY,1986-4,34,35.1314766
1986-12,1986,Positive,SARNEY,1986-4,47,36.6590705
1987-02,1987,Positive,SARNEY,1987-1,26,24.7401198
1987-03,1987,Ot-Bom,SARNEY,1987-1,32.6,20.1644831
1987-05,1987,Ot-Bom,SARNEY,1987-2,9,15.5545163
1987-07,1987,Ot-Bom,SARNEY,1987-3,20.05,18.8950617
1987-07,1987,Positive,SARNEY,1987-3,20.05,18.8950617
1987-09,1987,Ot-Bom,SARNEY,1987-3,17.9,17.4024246
1987-09,1987,Positive,SARNEY,1987-3,17.9,17.4024246
1987-11,1987,Ot-Bom,SARNEY,1987-4,11,17.3184328
1987-12,1987,Positive,SARNEY,1987-4,12,14.2302647
1988-03,1988,Ot-Bom,SARNEY,1988-1,9,12.4860414
1988-03,1988,Positive,SARNEY,1988-1,9,12.4860414
1988-07,1988,Positive,SARNEY,1988-3,10,11.7580736
1988-09,1988,Positive,SARNEY,1988-3,12,12.9006906
1988-10,1988,Ot-Bom,SARNEY,1988-4,7,14.2014117
1988-12,1988,Ot-Bom,SARNEY,1988-4,8.5,12.8097358
1988-12,1988,Positive,SARNEY,1988-4,8.5,12.8097358
1989-02,1989,Positive,SARNEY,1989-1,14,14.15302
1989-03,1989,Ot-Bom,SARNEY,1989-1,9,12.6881041
1989-03,1989,Positive,SARNEY,1989-1,9,12.6881041
1989-04,1989,Ot-Bom,SARNEY,1989-2,13,13.8674815
1989-04,1989,Positive,SARNEY,1989-2,13,13.8674815
1989-05,1989,Positive,SARNEY,1989-2,16,15.4493205
