date,gdp
Mar-96,2.5
Jun-96,2.1
Sep-96,2.3
Dec-96,2.2
Mar-97,3.2
Jun-97,4
Sep-97,3
Dec-97,3.4
Mar-98,2.8
Jun-98,2
Sep-98,1.6
Dec-98,0.3
Mar-99,0.3
Jun-99,-0.2
Sep-99,-0.4
Dec-99,0.5
Mar-00,1.3
Jun-00,2.4
Sep-00,3.8
Dec-00,4.4
Mar-01,4.2
Jun-01,3.7
Sep-01,2.7
Dec-01,1.4
Mar-02,0.7
Jun-02,0.7
Sep-02,1.6
Dec-02,3.1
Mar-03,3.6
Jun-03,3.2
Sep-03,2.3
Dec-03,1.1
Mar-04,1.4
Jun-04,2.8
Sep-04,4.3
Dec-04,5.8
Mar-05,5.8
Jun-05,5.4
Sep-05,4.2
Dec-05,3.2
Mar-06,3.2
Jun-06,2.7
Sep-06,3.3
Dec-06,4
Mar-07,4.2
Jun-07,5.3
Sep-07,5.6
Dec-07,6.1
Mar-08,6.3
Jun-08,6.3
Sep-08,6.5
Dec-08,5.1
Mar-09,3
Jun-09,0.8
Sep-09,-1.2
Dec-09,-0.1
Mar-10,2.6
Jun-10,5.3
Sep-10,7.5
Dec-10,7.5
Mar-11,6.6
Jun-11,5.6
Sep-11,4.8
Dec-11,4
Mar-12,3.1
Jun-12,2.2
Sep-12,1.9
Dec-12,1.9
Mar-13,2.2
Jun-13,2.9
Sep-13,3
Dec-13,3
Mar-14,3.2
Jun-14,2.1
Sep-14,1.2
Dec-14,0.5
Mar-15,-0.7
Jun-15,-1.3
Sep-15,-2.2
Dec-15,-3.5
Mar-16,-4.4
Jun-16,-4.5
Sep-16,-4.1
Dec-16,-3.3
Mar-17,-1.9
Jun-17,-0.9
Sep-17,0.1
Dec-17,1.3
Mar-18,1.7
Jun-18,1.9
Sep-18,2
Dec-18,1.8
Mar-19,1.6
Jun-19,1.6
Sep-19,1.4
Dec-19,1.4
Mar-20,1
Jun-20,-2.1
Sep-20,-3.4
Dec-20,-4.1
Mar-21,-3.8
