date,ipca
Jan-80,115.7
Feb-80,71.88
Mar-80,102.1
Apr-80,85.55
May-80,94.55
Jun-80,85.95
Jul-80,91.11
Aug-80,78.47
Sep-80,64.41
Oct-80,196.51
Nov-80,117.11
Dec-80,115.66
Jan-81,121.15
Feb-81,110.55
Mar-81,79.01
Apr-81,112
May-81,91.41
Jun-81,90.51
Jul-81,107.13
Aug-81,90.03
Sep-81,84.93
Oct-81,81.18
Nov-81,85.24
Dec-81,99.53
Jan-82,124.33
Feb-82,116.21
Mar-82,94.77
Apr-82,98.67
May-82,116.74
Jun-82,127.88
Jul-82,109.53
Aug-82,100.6
Sep-82,81.24
Oct-82,68.47
Nov-82,85.6
Dec-82,146.44
Jan-83,170.35
Feb-83,147.88
Mar-83,134.09
Apr-83,114.82
May-83,112.5
Jun-83,209.77
Jul-83,216.54
Aug-83,184.73
Sep-83,224.29
Oct-83,177.16
Nov-83,135.12
Dec-83,171.43
Jan-84,202.69
Feb-84,197.17
Mar-84,179.37
Apr-84,198.55
May-84,182.83
Jun-84,216.6
Jul-84,204.54
Aug-84,192.27
Sep-84,279.21
Oct-84,229.14
Nov-84,232.35
Dec-84,288.65
Jan-85,279.67
Feb-85,244.78
Mar-85,219.44
Apr-85,157.34
May-85,130.22
Jun-85,165.99
Jul-85,224.73
Aug-85,291.67
Sep-85,254.31
Oct-85,235.61
Nov-85,380.42
Dec-85,439.12
Jan-86,401.02
Feb-86,320.57
Mar-86,74.93
Apr-86,9.77
May-86,18.14
Jun-86,16.38
Jul-86,22.57
Aug-86,52.04
Sep-86,22.65
Oct-86,25.39
Nov-86,89.09
Dec-86,275.24
Jan-87,343.15
Feb-87,317.03
Mar-87,516.85
Apr-87,714.53
May-87,929.98
Jun-87,766.22
Jul-87,187.84
Aug-87,76.94
Sep-87,145.76
Oct-87,258.26
Nov-87,439.46
Dec-87,389.43
Jan-88,697.48
Feb-88,475.44
Mar-88,599.7
Apr-88,730.29
May-88,586.89
Jun-88,987.22
Jul-88,977.64
Aug-88,944.17
Sep-88,"1,736.88"
Oct-88,"1,444.20"
Nov-88,"1,823.45"
Dec-88,"1,965.12"
Jan-89,"4,463.04"
Feb-89,543.31
Mar-89,120.71
Apr-89,161.21
May-89,622.85
Jun-89,"1,955.50"
Jul-89,"1,787.65"
Aug-89,"3,165.63"
Sep-89,"4,490.99"
Oct-89,"5,458.63"
Nov-89,"10,784.25"
Dec-89,"14,520.14"
Jan-90,"48,847.81"
Feb-90,"86,626.31"
Mar-90,"135,422.77"
Apr-90,464.79
May-90,140.58
Jun-90,279.29
Jul-90,329.78
Aug-90,327.96
Sep-90,403
Oct-90,400.37
Nov-90,545.3
Dec-90,662.05
Jan-91,860.83
Feb-91,858.01
Mar-91,286.39
Apr-91,79.37
May-91,136.37
Jun-91,257.06
Jul-91,307.02
Aug-91,471.3
Sep-91,471.32
Oct-91,812.3
Nov-91,"1,384.84"
Dec-91,"1,184.78"
Jan-92,"1,492.12"
Feb-92,"1,262.98"
Mar-92,924.79
Apr-92,785.39
May-92,"1,335.76"
Jun-92,810.54
Jul-92,969.19
Aug-92,"1,002.29"
Sep-92,"1,304.33"
Oct-92,"1,389.07"
Nov-92,"1,040.80"
Dec-92,"1,389.07"
Jan-93,"2,306.19"
Feb-93,"1,352.40"
Mar-93,"1,704.28"
Apr-93,"1,789.42"
May-93,"1,778.81"
Jun-93,"2,244.91"
