idEntrevista,ESTADO,CIDADE,REGIAO,TIPO,SEXO,IDADE1,IDADE,P1,P2,P3,P4,P5,P6,P7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P8_8,P8_9,P8_10,P8_11,P8_99,P9,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P11_1,P11_2,P11_3,P11_4,P11_5,P11_6,P11_7,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P12A,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P14,P15,P16,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_7,P17_8,P18,P19,P20,P21,P22,P23_1,P23_2,P23_3,P23_4,P23_5,P24,P25_1,P25_2,P25_3,P25_4,P25_5,P25_6,P25_7,P25_8,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P27,P28,P29,P30,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P31_7,P31_8,P31_9,P31_10,P31_11,P31_12,P31_13,P32_1,P32_2,P32_3,P32_4,P32_5,P32_6,P33,P34_1,P34_2,P34_3,P34_4,P35,P36,P37,P38,P39_1,P39_2,P39_3,P39_4,P39_5,P40_1,P40_2,ESCOLAE,PF6,PF7,RENDAF,CLASSE,IDAT,ESCT,RENT,CLAST,RELT
28859210,AL,ARAPIRACA,Nordeste,Interior,Homens,19,16 a 24 anos,Regular,"Nao aprovo, nem desaprovo",Pouca,Direita/ Centro-Direita,Algumas vezes tenho interesse,Algumas vezes tenho interesse,Uma vez por semana, ,Jornal digital, , , , , , , ,Pelas redes sociais, , ,Conforto,Instagram,Facebook, , , , , , , , , , , ,Nenhum desses,Celular, , , , , , ,Celular,Confio pouco,Confio pouco,Confio pouco,Confio muito,Confio muito,Confio pouco,Confio muito,Videos ou textos de noticias mais longos,Noticias de diferentes pontos de vista,"Le, assiste ate o fim","Eu reajo a noticia jornalistica (ex. curtir, odiar, favoritar, etc)",Eu comento a noticia jornalistica nas redes sociais ou site, ,Eu compartilho a noticia jornalistica com conhecidos, , , , ,Nao confia,Nao,Frequentemente,Nao, ,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,"Sim, muito",Muito impactado,Muito impactado,Muito impactado,Muito impactado,Pouco impactado,Muito impactado,Pouco impactado,Muito impactado,Mais ou menos impactado,Pouco impactado,Pouco impactado,Muito impactado,Nao sei,Pouco impactado,"Governo, politicos ou de partidos politicos do meu pais","Sim, sempre",Nao,Nao compartilha, , , , , ,Universidades / cientistas, , , , , , , ,Sim,Sim,Sim,Sim,Sim,Sim,"Sim, para pior",Discordo,Concordo,Discordo,Concordo,Universidades / cientistas,Aumentou muito,Confio pouco,Urna eletrônica,Pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Agilidade na contagem de votos,Praticidade/simplicidade para votar,4a Serie Fundamental,Parda,Protestante/Evangelica,"Ate R$ 600,00 - Ate  e meio SM",E,16 a 29 anos,Fundamental,Ate 1 SM,D/E,Evangelicos
28858829,SP,PROMISSaO,Sudeste,Interior,Homens,19,16 a 24 anos,Pessimo,Desaprovo totalmente,Nenhuma,Esquerda/ Centro-Esquerda,Extremamente interessado,Extremamente interessado,Mais de uma vez por dia, , , , , ,Televisao, , , ,Pelas redes sociais, , ,Nao sabe,Facebook,Instagram, , , , , , , , , ,Canal no YouTube, , ,Celular, , , , , , ,Celular,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Videos ou textos de noticias mais longos,Noticias de diferentes pontos de vista,"Le, assiste ate o fim","Eu reajo a noticia jornalistica (ex. curtir, odiar, favoritar, etc)", , , ,Eu participo de votacao online em sites jornalisticos ou redes sociais, ,Eu converso com amigos ou colegas sobre noticias jornalisticas, ,"Sim, mais ou menos",Nao,Nao sei,Nao, ,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,"Sim, muito",Pouco impactado,Mais ou menos impactado,Muito impactado,Muito impactado,Mais ou menos impactado,Muito impactado,Mais ou menos impactado,Mais ou menos impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,"Governo, politicos ou de partidos politicos do meu pais","Sim, sempre",Sim,Nao compartilha, ,Poder Judiciario, , ,Policia, , , , , ,Ordem dos advogados – OAB, , ,Nao,Nao,Nao,Nao,Nao,Nao,"Sim, para melhor",Discordo,Concordo,Discordo,Discordo,Medicos e profissionais da saude,Aumentou muito,Nao confio,Urna eletrônica,Pouco preocupado,Pouco preocupado,Pouco preocupado,Pouco preocupado,Pouco preocupado,Confianca na independencia e confiabilidade da justica eleitoral,Confianca no sistema operacional de eleicao (urna ou papel),Medio completo,Parda,Ateu,"Ate R$ 600,00 - Ate  e meio SM",E,16 a 29 anos,Medio,Ate 1 SM,D/E,Sem religiao
28859121,SP,MOJI-MIRIM,Sudeste,Interior,Homens,22,16 a 24 anos,Bom,Aprovo totalmente,Muita,Direita/ Centro-Direita,Muito interessado,Extremamente interessado,Mais de uma vez por dia, , , , , ,Televisao, , , ,Pelas redes sociais, , ,Facilidade de acesso,Facebook,Instagram,WhatsApp,Twiter, , , , , , , , , ,Nenhum desses,Celular, , , , , , ,Celular,Confio pouco,Confio pouco,Confio muito,Confio muito,Nao confio nada,Nao confio nada,Nao confio nada,Videos ou textos de noticias mais curtos,Noticias de fontes que compartilham seu ponto de vista/ emitem suas opiniões,Nao sabe, , , , , , , ,Nenhuma das alternativas anteriores,Nao confia,Nao,Frequentemente,Nao, ,Pouca responsabilidade,Alguma responsabilidade,Pouca responsabilidade,Pouca responsabilidade,Pouca responsabilidade,"Sim, mais ou menos",Mais ou menos impactado,Mais ou menos impactado,Nao e impactado,Mais ou menos impactado,Nao e impactado,Mais ou menos impactado,Mais ou menos impactado,Muito impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Muito impactado,Pessoas em geral,Nao/Nenhuma,Nao,Nao compartilha, , , , , , , , ,Igreja, , , , ,Sim,Nao,Nao,Nao,Nao,Sim,Nao alterou em nada,Concordo,Concordo,Discordo,Discordo,Medicos e profissionais da saude,Aumentou um pouco,Nao confio,Voto impresso (impressao do voto da urna eletrônica),Pouco preocupado,Pouco preocupado,Muito preocupado,Muito preocupado,Pouco preocupado,Nenhum desses, ,Medio completo,Parda,Sem religiao definida/Tenho minha espiritualidade,"Ate R$ 600,00 - Ate  e meio SM",E,16 a 29 anos,Medio,Ate 1 SM,D/E,Sem religiao
28858079,AM,MANAUS,Norte,Capital,Homens,21,16 a 24 anos,Pessimo,Desaprovo,Nenhuma,Centro,Algumas vezes tenho interesse,Algumas vezes tenho interesse,Algumas vezes por semana, ,Jornal digital, , , , , , , , , , ,Facilidade de acesso,Facebook,WhatsApp, , , , , , , , , , , ,Nenhum desses,PC/desktop,Celular, , , , , ,PC/desktop,Confio pouco,Confio pouco,Nao utiliza,Nao utiliza,Confio pouco,Nao confio nada,Nao confio nada,Videos ou textos de noticias mais longos,Noticias de diferentes pontos de vista,"Le, assiste ate o fim", , , , , , ,Eu converso com amigos ou colegas sobre noticias jornalisticas, ,Nao confia,Nao,Frequentemente,Nao, ,Muita responsabilidade,Alguma responsabilidade,Nenhuma responsabilidade,Muita responsabilidade,Muita responsabilidade,"Sim, muito",Mais ou menos impactado,Muito impactado,Muito impactado,Nao e impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Pouco impactado,Pouco impactado,Muito impactado,Nao sei,Muito impactado,Pessoas em geral,"Sim, poucas vezes",Nunca ouvi falar em agencias de checagens,Nao compartilha, ,Poder Judiciario,Poder Legislativo, ,Policia, , , , , , , , ,Nao,Nao,Nao,Nao,Nao,Nao,Nao alterou em nada,Concordo,Discordo,Discordo,Discordo,Medicos e profissionais da saude,Aumentou um pouco,Nao confio,Voto impresso (impressao do voto da urna eletrônica),Pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Pouco preocupado,Garantia de que nao ha interferencia externa (de outros paises),Garantia de que nao ha interferencia interna (dentro do Brasil),Medio completo,Parda,Catolica,"Entre de R$ 600,01 ate R$ 1.200,00 - De  e meio ate 1 SM",D,16 a 29 anos,Medio,Ate 1 SM,D/E,Catolicos
28830433,RO,PORTO VELHO,Norte,Capital,Homens,21,16 a 24 anos,Bom,Aprovo,Alguma,Direita/ Centro-Direita,Algumas vezes tenho interesse,Extremamente interessado,Mais de uma vez por dia, , , , , ,Televisao, , , ,Pelas redes sociais, , ,Conforto,Instagram,Youtube,WhatsApp,TikTok,Facebook, , , , , , , , ,Nenhum desses,Celular,SmartTV, , , , , ,Celular,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Videos ou textos de noticias mais longos,Noticias de fontes que compartilham seu ponto de vista/ emitem suas opiniões,"Le, assiste ate o fim", , , , , , , ,Nenhuma das alternativas anteriores,"Sim, pouco",Nao,as vezes,Nao, ,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,"Sim, muito",Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Pouco impactado,Muito impactado,Muito impactado,Muito impactado,Pouco impactado,Nao estou preocupado com isso,Nao/Nenhuma,Nao,"Sim, poucas vezes",Governo, , , , , , , , , , , , ,Nao,Nao,Nao,Nao,Sim,Sim,"Sim, para pior",Concordo,Concordo,Concordo,Concordo,OMS / Anvisa,Aumentou muito,Confio pouco,Voto impresso (impressao do voto da urna eletrônica),Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Pouco preocupado,Nenhum desses, ,Medio completo,Parda,Protestante/Evangelica,"Entre de R$ 600,01 ate R$ 1.200,00 - De  e meio ate 1 SM",D,16 a 29 anos,Medio,Ate 1 SM,D/E,Evangelicos
28858296,RO,CANDEIAS DO JAMARI,Norte,RM,Homens,19,16 a 24 anos,Regular,Desaprovo,Pouca,Ja tive posicao politica e hoje nao tenho mais,Nao muito interessado,Muito interessado,Algumas vezes por semana, , , , , ,Televisao, ,WhatsApp ou telefone, , , , ,Conteudo confiavel,WhatsApp,Instagram, , , , , , , , , , , ,Nenhum desses,Celular,PC/desktop,LapTop/notebook, , , , ,Celular,Confio muito,Confio muito,Confio pouco,Confio muito,Confio pouco,Confio pouco,Confio pouco,Videos ou textos de noticias mais curtos,Nao sei,Ignora/Nem le, , , , , , , ,Nenhuma das alternativas anteriores,"Sim, mais ou menos",Sim,Raramente,Sim,Enviei uma mensagem apenas avisando que a informacao nao era verdadeira,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Alguma responsabilidade,"Sim, muito",Muito impactado,Mais ou menos impactado,Pouco impactado,Mais ou menos impactado,Pouco impactado,Pouco impactado,Mais ou menos impactado,Mais ou menos impactado,Muito impactado,Pouco impactado,Pouco impactado,Muito impactado,Pouco impactado,Muito impactado,Jornalistas ou empresas jornalisticas,"Sim, poucas vezes",Nunca ouvi falar em agencias de checagens,"Sim, poucas vezes", , , , , ,Universidades / cientistas, , ,Igreja,Imprensa, , , ,Sim,Nao,Nao,Sim,Sim,Nao,"Sim, para pior",Concordo,Discordo,Discordo,Concordo,Medicos e profissionais da saude,Aumentou um pouco,Confio pouco,Voto impresso (impressao do voto da urna eletrônica),Muito preocupado,Pouco preocupado,Nada preocupado,Pouco preocupado,Pouco preocupado,Agilidade na contagem de votos,Certificacao de que meu voto foi computado,4a Serie Fundamental,Parda,Ateu,"Entre de R$ 600,01 ate R$ 1.200,00 - De  e meio ate 1 SM",D,16 a 29 anos,Fundamental,Ate 1 SM,D/E,Sem religiao
28856602,BA,JUAZEIRO,Nordeste,Interior,Homens,18,16 a 24 anos,Pessimo,Desaprovo,Nenhuma,Ja tive posicao politica e hoje nao tenho mais,Nao muito interessado,Muito interessado,Uma vez por dia, , , , , , ,Sites alternativos de noticias, , , ,Podcasts, ,Facilidade de acesso,WhatsApp,Youtube,Twiter, , , , , , , , , , ,Nenhum desses,Celular,SmartTV, , , , , ,Celular,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Videos ou textos de noticias mais curtos,Noticias de fontes que nao possuem um ponto particular/ nao emitem suas opiniões,"Le, assiste ate o fim", , , , , , ,Eu converso com amigos ou colegas sobre noticias jornalisticas, ,"Sim, pouco",Nao,Frequentemente,Nao, ,Alguma responsabilidade,Alguma responsabilidade,Alguma responsabilidade,Alguma responsabilidade,Alguma responsabilidade,"Sim, muito",Pouco impactado,Pouco impactado,Muito impactado,Pouco impactado,Pouco impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,"Governo, politicos ou de partidos politicos do meu pais","Sim, poucas vezes",Nao,Nao compartilha, , , , , ,Universidades / cientistas, , , , , , , ,Sim,Sim,Sim,Sim,Sim,Sim,"Sim, para pior",Discordo,Concordo,Discordo,Discordo,OMS / Anvisa,Aumentou muito,Confio muito,Urna eletrônica,Pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Pouco preocupado,Confianca na independencia e confiabilidade da justica eleitoral,Nenhum desses,Medio completo,Parda,Catolica,"Entre de R$ 600,01 ate R$ 1.200,00 - De  e meio ate 1 SM",D,16 a 29 anos,Medio,Ate 1 SM,D/E,Catolicos
28845460,BA,ALAGOINHAS,Nordeste,Interior,Homens,22,16 a 24 anos,Pessimo,Desaprovo totalmente,Nenhuma,Centro,Algumas vezes tenho interesse,Algumas vezes tenho interesse,Algumas vezes por semana, ,Jornal digital, , , ,Televisao, , , , , , ,Conteudo confiavel,Instagram,WhatsApp, , , , , , , , , , , ,Nenhum desses,Celular,SmartTV, , , , , ,Celular,Confio muito,Confio muito,Confio muito,Confio muito,Confio muito,Confio muito,Confio muito,Videos ou textos de noticias mais longos,Noticias de diferentes pontos de vista,"Le, assiste ate o fim", ,Eu comento a noticia jornalistica nas redes sociais ou site, , , , , , ,"Sim, mais ou menos",Nao,Raramente,Nao, ,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Pouca responsabilidade,Pouca responsabilidade,"Sim, muito",Muito impactado,Pouco impactado,Muito impactado,Muito impactado,Muito impactado,Muito impactado,Pouco impactado,Pouco impactado,Muito impactado,Pouco impactado,Muito impactado,Muito impactado,Muito impactado,Pouco impactado,"Governo, politicos ou de partidos politicos do meu pais","Sim, sempre",Sim,Nao compartilha, , ,Poder Legislativo, ,Policia,Universidades / cientistas, , , , , , , ,Nao,Nao,Nao,Nao,Nao,Sim,Nao alterou em nada,Discordo,Concordo,Discordo,Discordo,OMS / Anvisa,Aumentou muito,Confio muito,Urna eletrônica,Nada preocupado,Nada preocupado,Nada preocupado,Nada preocupado,Nada preocupado,Nenhum desses, ,Superior completo,Preta,Umbanda/Candomble/Cultos africanos,"Entre de R$ 600,01 ate R$ 1.200,00 - De  e meio ate 1 SM",D,16 a 29 anos,Superior,Ate 1 SM,D/E,Outras religiões
28858300,MA,AcAILÂNDIA,Nordeste,Interior,Homens,20,16 a 24 anos,Pessimo,Desaprovo totalmente,Nenhuma,Esquerda/ Centro-Esquerda,Algumas vezes tenho interesse,Algumas vezes tenho interesse,Menos que uma vez por semana, , , , , ,Televisao, , , , , , ,Conteudo de facil leitura,Facebook,Youtube,TikTok,Twiter, , , , , ,TV/Canal por assinatura/ Streaming,Site noticioso/ agencia de noticia, , , ,Celular,LapTop/notebook, , , , , ,Celular,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Confio pouco,Indiferente/Tanto faz,Noticias de diferentes pontos de vista,Ignora/Nem le, ,Eu comento a noticia jornalistica nas redes sociais ou site, , , , ,Eu converso com amigos ou colegas sobre noticias jornalisticas, ,"Sim, pouco",Nao,as vezes,Nao, ,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,Muita responsabilidade,"Sim, muito",Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Mais ou menos impactado,Muito impactado,Muito impactado,Muito impactado,Mais ou menos impactado,Nao e impactado,Muito impactado,Pessoas em geral,"Sim, poucas vezes",Nunca ouvi falar em agencias de checagens,"Sim, poucas vezes", , ,Poder Legislativo, , , , , , , , , , ,Nao,Nao,Nao,Nao,Nao,Nao,Nao alterou em nada,Discordo,Discordo,Discordo,Discordo,Poder Legislativo,Diminuiu um pouco,Nao confio,Voto em papel (depositado em uma caixa),Pouco preocupado,Pouco preocupado,Pouco preocupado,Pouco preocupado,Pouco preocupado,Garantia de que nao ha interferencia interna (dentro do Brasil),Confianca no sistema operacional de eleicao (urna ou papel),Analfabeto/ ate 3a Serie Fundamental,Parda,Catolica,"Entre de R$ 600,01 ate R$ 1.200,00 - De  e meio ate 1 SM",D,16 a 29 anos,Sem instrucao,Ate 1 SM,D/E,Catolicos
28843358,CE,FORTALEZA,Nordeste,Capital,Homens,18,16 a 24 anos,Regular,Aprovo totalmente,Alguma,Centro,Nao sei,Nao muito interessado,Nao sei, , , , , ,Televisao, , , , , , ,Conforto,WhatsApp,Facebook, , , , , , , , , , , ,Nenhum desses,Celular, , , , , , ,Celular,Nao sei,Nao sei,Nao sei,Confio pouco,Nao sei,Nao sei,Nao sei,Nao sabe,Nao sei,Nao sabe, , , , , , , ,Nenhuma das alternativas anteriores,Nao sabe,Nao,Nao sei,Nao, ,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Pouco impactado,Pouco impactado,Pouco impactado,Pouco impactado,Pouco impactado,Pouco impactado,Nao estou preocupado com isso,Nao/Nenhuma,Nao,Nao compartilha, , , , , , , , , , , , ,Instituicões Bancarias,Nao,Nao,Nao,Nao,Nao,Nao,Nao sabe,Nao sei,Nao sei,Nao sei,Nao sei,Amigos e familiares,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei,Nao sei, ,Medio completo,Branca,Protestante/Evangelica,"Entre de R$ 600,01 ate R$ 1.200,00 - De  e meio ate 1 SM",D,16 a 29 anos,Medio,Ate 1 SM,D/E,Evangelicos
