"","idInterview","state","city","region","type","sex","age_full","age_60","P1","P2","P3","P4","P5","P6","P7","P8_1","P8_2","P8_3","P8_4","P8_5","P8_6","P8_7","P8_8","P8_9","P8_10","P8_11","P8_99","P9","P10_1","P10_2","P10_3","P10_4","P10_5","P10_6","P10_7","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12A","P13_1","P13_2","P13_3","P13_4","P13_5","P13_6","P13_7","P14","P15","P16","P17_1","P17_2","P17_3","P17_4","P17_5","P17_6","P17_7","P17_8","P18","P19","P20","P21","P22","P23_1","P23_2","P23_3","P23_4","P23_5","P24","P25_1","P25_2","P25_3","P25_4","P25_5","P25_6","P25_7","P25_8","P26_1","P26_2","P26_3","P26_4","P26_5","P26_6","P27","P28","P29","P30","P31_1","P31_2","P31_3","P31_4","P31_5","P31_6","P31_7","P31_8","P31_9","P31_10","P31_11","P31_12","P31_13","P32_1","P32_2","P32_3","P32_4","P32_5","P32_6","P33","P34_1","P34_2","P34_3","P34_4","P35","P36","P37","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P40_1","P40_2","education_full","race","religion_full","income_full","class_full","age_50","education","income","class","religion"
"1",28859210,"AL","ARAPIRACA","Northeast","Countryside","Men",19,"16-24 age","Regular","Neither approves nor disapproves","Not very much","Right/Center-Right","Mildly interested","Mildly interested","Once a week",NA,"Online newspaper",NA,NA,NA,NA,NA,NA,NA,"Social media",NA,NA,"Convenience","Instagram","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular",NA,NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Great deal","Great deal","Not very much","Great deal","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end","I react to journalistic news (eg like, hate, favorite, etc.)","I comment on journalistic news on social media or website",NA,"I share journalistic news with people I know",NA,NA,NA,NA,"Not at all","No","Often","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Major","Major","Major","Minor","Major","Minor","Major","Moderate","Minor","Minor","Major","Unsure","Minor","Government, politicians, or political parties in my country","Yes, always","No","Never",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes, for worse","Disagree","Agree","Disagree","Agree","Academia/Scientists","Increased a great deal","Not very much","Electronic ballot","Slightly worried","Very worried","Very worried","Very worried","Very worried","Agility/speed in counting votes","Convenience/ease of voting","Elementary School","Pardo (brown)","Protestant / Evangelical","Up to R$ 600","E","16-29 age","Elementary School","Up to 1 MW","D/E","Evangelicals"
"2",28858829,"SP","PROMISSaO","Southeast","Countryside","Men",19,"16-24 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Extremely interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Unsure","Facebook","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,"YouTube channel",NA,NA,"Celular",NA,NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end","I react to journalistic news (eg like, hate, favorite, etc.)",NA,NA,NA,"I participate in online polls on news sites or social media",NA,"I talk to friends or colleagues about the news.",NA,"Yes, a fair amount","No","Unsure","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Minor","Moderate","Major","Major","Moderate","Major","Moderate","Moderate","Major","Major","Major","Major","Major","Major","Government, politicians, or political parties in my country","Yes, always","Yes","Never",NA,"Judiciary",NA,NA,"Police",NA,NA,NA,NA,NA,"Bar Association - OAB",NA,NA,"No","No","No","No","No","No","Yes, for better","Disagree","Agree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a great deal","Don't trust","Electronic ballot","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Confidence in the independence and reliability of the electoral justice","Trust in the voting system (electronic ballot or paper ballot)","High School","Pardo (brown)","Atheist","Up to R$ 600","E","16-29 age","High School","Up to 1 MW","D/E","No religion"
"3",28859121,"SP","MOJI-MIRIM","Southeast","Countryside","Men",22,"16-24 age","Good","Strongly approves","Great deal","Right/Center-Right","Quite interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Ease of access","Facebook","Instagram","WhatsApp","Twiter",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular",NA,NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Great deal","Great deal","No trust at all","No trust at all","No trust at all","Shorter and concise news videos and texts","News from sources who share your point of view","Unsure",NA,NA,NA,NA,NA,NA,NA,"None of the above","Not at all","No","Often","No",NA,"Not much responsibility","A fair amount of responsibility","Not much responsibility","Not much responsibility","Not much responsibility","Yes, a fair amount","Moderate","Moderate","Not impacted at all","Moderate","Not impacted at all","Moderate","Moderate","Major","Moderate","Moderate","Moderate","Moderate","Moderate","Major","People in general","Never","No","Never",NA,NA,NA,NA,NA,NA,NA,NA,"Church",NA,NA,NA,NA,"Yes","No","No","No","No","Yes","It did not change","Agree","Agree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a fair amount","Don't trust","Printed vote (from the electronic ballot)","Slightly worried","Slightly worried","Very worried","Very worried","Slightly worried","None of the above",NA,"High School","Pardo (brown)","No defined religion / I have my own spirituality","Up to R$ 600","E","16-29 age","High School","Up to 1 MW","D/E","No religion"
"4",28858079,"AM","MANAUS","North","Capital","Men",21,"16-24 age","Terrible","Disapproves","None at all","Center","Mildly interested","Mildly interested","a few times a week",NA,"Online newspaper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ease of access","Facebook","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","PC/desktop","Celular",NA,NA,NA,NA,NA,"PC/desktop","Not very much","Not very much","Does not use","Does not use","Not very much","No trust at all","No trust at all","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Not at all","No","Often","No",NA,"A great deal of responsibility","A fair amount of responsibility","No responsibility at all","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Major","Major","Not impacted at all","Major","Major","Major","Major","Major","Minor","Minor","Major","Unsure","Major","People in general","Yes, rarely","Never heard of fact-checking agencies","Never",NA,"Judiciary","Legislative",NA,"Police",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Agree","Disagree","Disagree","Disagree","Doctors and Healthcare professionals","Increased a fair amount","Don't trust","Printed vote (from the electronic ballot)","Slightly worried","Very worried","Very worried","Very worried","Slightly worried","Guaranteeing that there is no external interference (from other countries)","Guaranteeing that there is no internal interference (inside Brazil)","High School","Pardo (brown)","Catholic","Between R$ 600,01 and R$ 1.200,00","D","16-29 age","High School","Up to 1 MW","D/E","Catholic"
"5",28830433,"RO","PORTO VELHO","North","Capital","Men",21,"16-24 age","Good","Approves","Fair amount","Right/Center-Right","Mildly interested","Extremely interested","More than once a day",NA,NA,NA,NA,NA,"Television",NA,NA,NA,"Social media",NA,NA,"Convenience","Instagram","Youtube","WhatsApp","TikTok","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Longer and in-depth news videos and texts","News from sources who share your point of view","Read/watch until the end",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, but not very much","No","Sometimes","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Major","Major","Major","Major","Major","Major","Major","Major","Major","Minor","Major","Major","Major","Minor","I am not worried about it","Never","No","Yes, rarely","Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","Yes","Yes","Yes, for worse","Agree","Agree","Agree","Agree","WHO/Anvisa","Increased a great deal","Not very much","Printed vote (from the electronic ballot)","Very worried","Very worried","Very worried","Very worried","Slightly worried","None of the above",NA,"High School","Pardo (brown)","Protestant / Evangelical","Between R$ 600,01 and R$ 1.200,00","D","16-29 age","High School","Up to 1 MW","D/E","Evangelicals"
"6",28858296,"RO","CANDEIAS DO JAMARI","North","Metropolitan region","Men",19,"16-24 age","Regular","Disapproves","Not very much","I no longer have a defined political orientation","Minimally interested","Quite interested","a few times a week",NA,NA,NA,NA,NA,"Television",NA,"WhatsApp or telephone",NA,NA,NA,NA,"Trusted content","WhatsApp","Instagram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","PC/desktop","LapTop/notebook",NA,NA,NA,NA,"Celular","Great deal","Great deal","Not very much","Great deal","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","Unsure","Ignores",NA,NA,NA,NA,NA,NA,NA,"None of the above","Yes, a fair amount","Yes","Hardly ever","Yes","I just sent a message warning that the information was not true","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A fair amount of responsibility","Yes, a great deal","Major","Moderate","Minor","Moderate","Minor","Minor","Moderate","Moderate","Major","Minor","Minor","Major","Minor","Major","Journalists or the press","Yes, rarely","Never heard of fact-checking agencies","Yes, rarely",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,"Church","Press",NA,NA,NA,"Yes","No","No","Yes","Yes","No","Yes, for worse","Agree","Disagree","Disagree","Agree","Doctors and Healthcare professionals","Increased a fair amount","Not very much","Printed vote (from the electronic ballot)","Very worried","Slightly worried","Not worried","Slightly worried","Slightly worried","Agility/speed in counting votes","Guaranteeing my vote was counted","Elementary School","Pardo (brown)","Atheist","Between R$ 600,01 and R$ 1.200,00","D","16-29 age","Elementary School","Up to 1 MW","D/E","No religion"
"7",28856602,"BA","JUAZEIRO","Northeast","Countryside","Men",18,"16-24 age","Terrible","Disapproves","None at all","I no longer have a defined political orientation","Minimally interested","Quite interested","Once a day",NA,NA,NA,NA,NA,NA,"Alternative news services",NA,NA,NA,"Podcasts",NA,"Ease of access","WhatsApp","Youtube","Twiter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Shorter and concise news videos and texts","News from sources that don't have a particular political preference/do not express their opinion","Read/watch until the end",NA,NA,NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Often","No",NA,"A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","A fair amount of responsibility","Yes, a great deal","Minor","Minor","Major","Minor","Minor","Major","Major","Major","Major","Major","Major","Major","Major","Major","Government, politicians, or political parties in my country","Yes, rarely","No","Never",NA,NA,NA,NA,NA,"Academia/Scientists",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes, for worse","Disagree","Agree","Disagree","Disagree","WHO/Anvisa","Increased a great deal","Great deal","Electronic ballot","Slightly worried","Very worried","Very worried","Very worried","Slightly worried","Confidence in the independence and reliability of the electoral justice","None of the above","High School","Pardo (brown)","Catholic","Between R$ 600,01 and R$ 1.200,00","D","16-29 age","High School","Up to 1 MW","D/E","Catholic"
"8",28845460,"BA","ALAGOINHAS","Northeast","Countryside","Men",22,"16-24 age","Terrible","Strongly disapproves","None at all","Center","Mildly interested","Mildly interested","a few times a week",NA,"Online newspaper",NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Trusted content","Instagram","WhatsApp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular","SmartTV",NA,NA,NA,NA,NA,"Celular","Great deal","Great deal","Great deal","Great deal","Great deal","Great deal","Great deal","Longer and in-depth news videos and texts","News from sources with different points of view","Read/watch until the end",NA,"I comment on journalistic news on social media or website",NA,NA,NA,NA,NA,NA,"Yes, a fair amount","No","Hardly ever","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Not much responsibility","Not much responsibility","Yes, a great deal","Major","Minor","Major","Major","Major","Major","Minor","Minor","Major","Minor","Major","Major","Major","Minor","Government, politicians, or political parties in my country","Yes, always","Yes","Never",NA,NA,"Legislative",NA,"Police","Academia/Scientists",NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","Yes","It did not change","Disagree","Agree","Disagree","Disagree","WHO/Anvisa","Increased a great deal","Great deal","Electronic ballot","Not worried","Not worried","Not worried","Not worried","Not worried","None of the above",NA,"Higher Education","Black","Umbanda / Candomblé / African Cults","Between R$ 600,01 and R$ 1.200,00","D","16-29 age","Higher Education","Up to 1 MW","D/E","Other religion"
"9",28858300,"MA","AcAILÂNDIA","Northeast","Countryside","Men",20,"16-24 age","Terrible","Strongly disapproves","None at all","Left/Center-Left","Mildly interested","Mildly interested","Less than once a week",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Easy to read content","Facebook","Youtube","TikTok","Twiter",NA,NA,NA,NA,NA,"TV (paid or free)/ Streaming","News site/news agency",NA,NA,NA,"Celular","LapTop/notebook",NA,NA,NA,NA,NA,"Celular","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Not very much","Indifferent","News from sources with different points of view","Ignores",NA,"I comment on journalistic news on social media or website",NA,NA,NA,NA,"I talk to friends or colleagues about the news.",NA,"Yes, but not very much","No","Sometimes","No",NA,"A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","A great deal of responsibility","Yes, a great deal","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Moderate","Major","Major","Major","Moderate","Not impacted at all","Major","People in general","Yes, rarely","Never heard of fact-checking agencies","Yes, rarely",NA,NA,"Legislative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","It did not change","Disagree","Disagree","Disagree","Disagree","Legislative","Decreased a fair amount","Don't trust","In paper vote (dropped in the ballot box)","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Guaranteeing that there is no internal interference (inside Brazil)","Trust in the voting system (electronic ballot or paper ballot)","No education","Pardo (brown)","Catholic","Between R$ 600,01 and R$ 1.200,00","D","16-29 age","No education","Up to 1 MW","D/E","Catholic"
"10",28843358,"CE","FORTALEZA","Northeast","Capital","Men",18,"16-24 age","Regular","Strongly approves","Fair amount","Center","Unsure","Minimally interested","Unsure",NA,NA,NA,NA,NA,"Television",NA,NA,NA,NA,NA,NA,"Convenience","WhatsApp","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the above","Celular",NA,NA,NA,NA,NA,NA,"Celular","Unsure","Unsure","Unsure","Not very much","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure",NA,NA,NA,NA,NA,NA,NA,"None of the above","Unsure","No","Unsure","No",NA,"Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Minor","Minor","Minor","Minor","Minor","Minor","I am not worried about it","Never","No","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banking Institutions","No","No","No","No","No","No","Unsure","Unsure","Unsure","Unsure","Unsure","Friends and family","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure",NA,"High School","White","Protestant / Evangelical","Between R$ 600,01 and R$ 1.200,00","D","16-29 age","High School","Up to 1 MW","D/E","Evangelicals"
